it_co_receita,it_no_receita
8350,"IDARON - FESA - Ind Frig A bate de Aves - 5,0% da Upf/RO por Lote ou Fração de 500 Aves","8350 - IDARON - FESA - Ind Frig A bate de Aves - 5,0% da Upf/RO por Lote ou Fração de 500 Aves"
8351,IDARON - FESA - Multas,8351 - IDARON - FESA - Multas
8352,IDARON - Dívida Ativa - Defesa Animal,8352 - IDARON - Dívida Ativa - Defesa Animal
8353,IDARON - Dívida Ativa - Defesa Vegetal,8353 - IDARON - Dívida Ativa - Defesa Vegetal
8354,IDARON - Dívida Ativa - Outros Créditos,8354 - IDARON - Dívida Ativa - Outros Créditos
8355,IDARON - Dívida Ativa - Ações Judiciais,8355 - IDARON - Dívida Ativa - Ações Judiciais
8356,IDARON - Código Reserva,8356 - IDARON - Código Reserva
8401,SEAGRI - Programa Pró-Leite,8401 - SEAGRI - Programa Pró-Leite
8402,SEAGRI - Funcafé,8402 - SEAGRI - Funcafé
8470,PGE - Honorários Execução Fiscal,8470 - PGE - Honorários Execução Fiscal
8480,TJ-RO - Custas Finais Execução Fiscal,8480 - TJ-RO - Custas Finais Execução Fiscal
8490,DETRAN - Honorários Execução Fiscal,8490 - DETRAN - Honorários Execução Fiscal
8430,DETRAN - Inclusão/Exclusão de Grevame,8430 - DETRAN - Inclusão/Exclusão de Grevame
8431,DETRAN - Autorização Prévia para Laudo de ECV,8431 - DETRAN - Autorização Prévia para Laudo de ECV
8432,DETRAN - Vistoria Eletrônica,8432 - DETRAN - Vistoria Eletrônica
8433,DETRAN - Entrega Posta l de Documentos,8433 - DETRAN - Entrega Posta l de Documentos
8434,DETRAN - Inscrição Curso de Formação Especializado em Trânsito - Formação Mototaxista ou Motofretista,8434 - DETRAN - Inscrição Curso de Formação Especializado em Trânsito - Formação Mototaxista ou Motofretista
8435,DETRAN - Inscrição Curso de Formação Especializado em Trânsito - Formação MOPP,8435 - DETRAN - Inscrição Curso de Formação Especializado em Trânsito - Formação MOPP
8436,DETRAN - Inscrição Curso de Formação Especializado em Trânsito - Formação em Transporte d e Passageiros,8436 - DETRAN - Inscrição Curso de Formação Especializado em Trânsito - Formação em Transporte d e Passageiros
8437,DETRAN - Inscrição Curso de Formação Especializado em Trânsito - Formação em Transporte Escolar,8437 - DETRAN - Inscrição Curso de Formação Especializado em Trânsito - Formação em Transporte Escolar
8438,DETRAN - Registro de Contratos com Garantia Fiduciária de Veículos,8438 - DETRAN - Registro de Contratos com Garantia Fiduciária de Veículos
8439,DETRAN - Sistema Nacional de Identificação Automática de Veículos - S INIAV,8439 - DETRAN - Sistema Nacional de Identificação Automática de Veículos - S INIAV
8440,DETRAN - Substituição da P laca Eletrônica do S INIAV,8440 - DETRAN - Substituição da P laca Eletrônica do S INIAV
8441,DETRAN - Código Reserva,8441 - DETRAN - Código Reserva
8501,DETRAN - 1º Emplacamento,8501 - DETRAN - 1º Emplacamento
8502,DETRAN - 2ª via CRLV,8502 - DETRAN - 2ª via CRLV
8503,DETRAN - 2ª via CRV,8503 - DETRAN - 2ª via CRV
8504,DETRAN - Alienação Fiduciária,8504 - DETRAN - Alienação Fiduciária
8505,DETRAN - Alteração de Características,8505 - DETRAN - Alteração de Características
8506,DETRAN - Alteração de Dados Cadastrais/Correção da CRV,8506 - DETRAN - Alteração de Dados Cadastrais/Correção da CRV
8507,DETRAN - Emissão de Via Original de CRLV,8507 - DETRAN - Emissão de Via Original de CRLV
8508,DETRAN - Baixa de Veículos,8508 - DETRAN - Baixa de Veículos
8509,DETRAN - Desalienação,8509 - DETRAN - Desalienação
8510,DETRAN - Licenciamento Anua l por Exercício,8510 - DETRAN - Licenciamento Anua l por Exercício
8511,DETRAN - Mudança de Município - Estado de Rondônia,8511 - DETRAN - Mudança de Município - Estado de Rondônia
8512,DETRAN - Recadastramento Veículo não RENAVAM (Veículo de outra UF -02 letras),8512 - DETRAN - Recadastramento Veículo não RENAVAM (Veículo de outra UF -02 letras)
8513,DETRAN - Recadastramento (Veíc . RENAVAM - 03 letras),8513 - DETRAN - Recadastramento (Veíc . RENAVAM - 03 letras)
8514,DETRAN - Autorização para Regravação/Gravação Chassi/Motor,8514 - DETRAN - Autorização para Regravação/Gravação Chassi/Motor
8515,DETRAN - Transferência Propriedade de Veículo - Rondônia com Troca de Placa (veículo 2 letras),8515 - DETRAN - Transferência Propriedade de Veículo - Rondônia com Troca de Placa (veículo 2 letras)
8516,DETRAN - Transferência Propriedade de Veículo - Rondônia com Troca de Placa veículo 3 letras),8516 - DETRAN - Transferência Propriedade de Veículo - Rondônia com Troca de Placa veículo 3 letras)
8517,DETRAN - Relacre de Placa,8517 - DETRAN - Relacre de Placa
8518,DETRAN - Mudança de Categoria,8518 - DETRAN - Mudança de Categoria
8519,DETRAN - Troca de Placa Veículo de Rondônia (de 2 para 3 letras),8519 - DETRAN - Troca de Placa Veículo de Rondônia (de 2 para 3 letras)
8520,DETRAN - Autorização de Embarque,8520 - DETRAN - Autorização de Embarque
8521,DETRAN - Liberação de Veículos Apreendidos sem Serviço de Guincho,8521 - DETRAN - Liberação de Veículos Apreendidos sem Serviço de Guincho
8522,DETRAN - Liberação de Veículos Apreendidos com Serviço de Guincho,8522 - DETRAN - Liberação de Veículos Apreendidos com Serviço de Guincho
8523,"DETRAN - Cadeia Dominial, Declaração e Certidões Diversas","8523 - DETRAN - Cadeia Dominial, Declaração e Certidões Diversas"
8524,DETRAN - Licenciamento Anual por Exercício Vencido,8524 - DETRAN - Licenciamento Anual por Exercício Vencido
8525,DETRAN - Renovação de Credenciamento de Oficina/Desmonte,8525 - DETRAN - Renovação de Credenciamento de Oficina/Desmonte
8526,DETRAN - Credenciamento de Oficina/Desmonte,8526 - DETRAN - Credenciamento de Oficina/Desmonte
8527,DETRAN - Certidão Negativa para Seguro,8527 - DETRAN - Certidão Negativa para Seguro
8528,DETRAN - Licença para Trânsito de Veículo (Licença de Parabrisa),8528 - DETRAN - Licença para Trânsito de Veículo (Licença de Parabrisa)
8529,DETRAN - Alteração de Característica sem Autorização Prévia,8529 - DETRAN - Alteração de Característica sem Autorização Prévia
8530,DETRAN - Nota Fiscal ou Recibo Vencido,8530 - DETRAN - Nota Fiscal ou Recibo Vencido
8531,DETRAN - Certidão Negativa de Multas,8531 - DETRAN - Certidão Negativa de Multas
8532,"DETRAN - Baixa de Restrição Administrativa , Tributária e Comunicação de Dados","8532 - DETRAN - Baixa de Restrição Administrativa , Tributária e Comunicação de Dados"
8533,DETRAN - Cancelamento de Gravam e,8533 - DETRAN - Cancelamento de Gravam e
8534,DETRAN - Cópia de Documento de Processo de Veículos (por folha frente e verso),8534 - DETRAN - Cópia de Documento de Processo de Veículos (por folha frente e verso)
8535,DETRAN - Concessão de Placa de Experiência,8535 - DETRAN - Concessão de Placa de Experiência
8536,DETRAN - Credenciamento de Concessionária para Fins Diversos,8536 - DETRAN - Credenciamento de Concessionária para Fins Diversos
8537,DETRAN - Credenciamento de Financeira p ara Acesso ao SNG,8537 - DETRAN - Credenciamento de Financeira p ara Acesso ao SNG
8588,DETRAN - Inscrição para Curso de Atualização para Profissional de Trânsito,8588 - DETRAN - Inscrição para Curso de Atualização para Profissional de Trânsito
8589,DETRAN - Expedição de 2ª via de LADV,8589 - DETRAN - Expedição de 2ª via de LADV
8590,DETRAN - Alteração de Dados LADV,8590 - DETRAN - Alteração de Dados LADV
8591,DETRAN - Divida Ativa Taxas de Licenciamento,8591 - DETRAN - Divida Ativa Taxas de Licenciamento
8592,DETRAN - Divida Ativa Outras Taxas,8592 - DETRAN - Divida Ativa Outras Taxas
8593,DETRAN - Divida Ativa Multas de Trânsito,8593 - DETRAN - Divida Ativa Multas de Trânsito
8594,DETRAN - Dívida Ativa Multas Diversas,8594 - DETRAN - Dívida Ativa Multas Diversas
8595,DETRAN - Dívida Ativa Diárias,8595 - DETRAN - Dívida Ativa Diárias
8596,DETRAN - Dívida Ativa Suprimento de Fundos,8596 - DETRAN - Dívida Ativa Suprimento de Fundos
8597,DETRAN - Parcelamento de Débitos de Veículos,8597 - DETRAN - Parcelamento de Débitos de Veículos
8598,DETRAN - Multas de Trânsito,8598 - DETRAN - Multas de Trânsito
8599,DETRAN - Parcelamento de Multas de Trânsito,8599 - DETRAN - Parcelamento de Multas de Trânsito
8600,"FUNRESPOL - Taxa para emissão de atestado coletivo de interesse de Empresas privadas, por pessoa","8600 - FUNRESPOL - Taxa para emissão de atestado coletivo de interesse de Empresas privadas, por pessoa"
8601,"FUNRESPOL - Taxa para emissão de atestado de antecedentes criminais, por pessoa","8601 - FUNRESPOL - Taxa para emissão de atestado de antecedentes criminais, por pessoa"
8602,"FUNRESPOL - Taxa para emissão de atestado de cadastro, por pessoa","8602 - FUNRESPOL - Taxa para emissão de atestado de cadastro, por pessoa"
8603,"FUNRESPOL - Taxa para emissão de cédula de identidade 1"" via","8603 - FUNRESPOL - Taxa para emissão de cédula de identidade 1"" via"
8604,"FUNRESPOL - Taxa para emissão de cédula de identidade 2"" via","8604 - FUNRESPOL - Taxa para emissão de cédula de identidade 2"" via"
8605,FUNRESPOL - Taxa para emissão de cédula de retificação em geral,8605 - FUNRESPOL - Taxa para emissão de cédula de retificação em geral
8606,"FUNRESPOL - Taxa para emissão de cédula de Identificação de pessoa em residência, com expedição de cédula, por pessoa","8606 - FUNRESPOL - Taxa para emissão de cédula de Identificação de pessoa em residência, com expedição de cédula, por pessoa"
8607,FUNRESPOL - Taxa para emissão de laudo de necropsia,8607 - FUNRESPOL - Taxa para emissão de laudo de necropsia
8608,FUNRESPOL - Taxa para emissão de laudo de exumação e necropsia,8608 - FUNRESPOL - Taxa para emissão de laudo de exumação e necropsia
8609,FUNRESPOL - Taxa para emissão de laudo de lesão corporal para fins particulares,8609 - FUNRESPOL - Taxa para emissão de laudo de lesão corporal para fins particulares
8610,FUNRESPOL - Taxa para emissão de laudo para processos e acidentes de trabalho,8610 - FUNRESPOL - Taxa para emissão de laudo para processos e acidentes de trabalho
8611,FUNRESPOL - Taxa para emissão de laudo de exames químicos - legais,8611 - FUNRESPOL - Taxa para emissão de laudo de exames químicos - legais
8612,FUNRESPOL - Taxa para emissão de laudo de exames toxicológicos,8612 - FUNRESPOL - Taxa para emissão de laudo de exames toxicológicos
8613,FUNRESPOL - Taxa para emissão de laudo de exames anátomo - patológico,8613 - FUNRESPOL - Taxa para emissão de laudo de exames anátomo - patológico
8614,FUNRESPOL - Taxa para emissão de laudo de exames sexológicos,8614 - FUNRESPOL - Taxa para emissão de laudo de exames sexológicos
8615,FUNRESPOL - Taxa para emissão de laudo de exames de verificação de idade,8615 - FUNRESPOL - Taxa para emissão de laudo de exames de verificação de idade
8616,FUNRESPOL - Taxa para emissão de laudo de exames de sanidade mental,8616 - FUNRESPOL - Taxa para emissão de laudo de exames de sanidade mental
8617,FUNRESPOL - Taxa para emissão de laudo de exames de outras naturezas,8617 - FUNRESPOL - Taxa para emissão de laudo de exames de outras naturezas
8618,FUNRESPOL - Taxa para emissão de laudo de autorização para translado de cadáver,8618 - FUNRESPOL - Taxa para emissão de laudo de autorização para translado de cadáver
8619,FUNRESPOL - Taxa para emissão de laudo de embalsamamento de cadáver,8619 - FUNRESPOL - Taxa para emissão de laudo de embalsamamento de cadáver
8620,"FUNRESPOL - Taxa para emissão de laudos de acidentes de trânsito, na Capital","8620 - FUNRESPOL - Taxa para emissão de laudos de acidentes de trânsito, na Capital"
8621,"FUNRESPOL - Taxa para emissão de laudos de acidente de trânsito, em outros municípios","8621 - FUNRESPOL - Taxa para emissão de laudos de acidente de trânsito, em outros municípios"
8622,"FUNRESPOL - Taxa para emissão de laudos de exames diversos, pareceres, exames de documentação contábeis, exames laboratoriais em geral de jogos lícitos e de outras espécies","8622 - FUNRESPOL - Taxa para emissão de laudos de exames diversos, pareceres, exames de documentação contábeis, exames laboratoriais em geral de jogos lícitos e de outras espécies"
8623,FUNRESPOL - Taxa para vistoria de constatação de danos,8623 - FUNRESPOL - Taxa para vistoria de constatação de danos
8624,FUNRESPOL - Taxa para vistoria de levantamento de questões possessórias,8624 - FUNRESPOL - Taxa para vistoria de levantamento de questões possessórias
8625,"FUNRESPOL - Taxa para vistoria de veículos transportadores de valores, cada veículo","8625 - FUNRESPOL - Taxa para vistoria de veículos transportadores de valores, cada veículo"
8626,FUNRESPOL - Taxa para vistoria de numerações identificadoras de veículos ou de outra natureza,8626 - FUNRESPOL - Taxa para vistoria de numerações identificadoras de veículos ou de outra natureza
8627,"FUNRESPOL - Taxa para fotografias legendadas e autenticadas até o tamanho 10X15 cm , por unidade","8627 - FUNRESPOL - Taxa para fotografias legendadas e autenticadas até o tamanho 10X15 cm , por unidade"
8628,"FUNRESPOL - Taxa para ampliações fotográficas até o tamanho 20X25 cm, por unidade","8628 - FUNRESPOL - Taxa para ampliações fotográficas até o tamanho 20X25 cm, por unidade"
8629,"FUNRESPOL - Taxa para cópias de legendadas e autenticadas até o tamanho 10X15 cm , por unidade","8629 - FUNRESPOL - Taxa para cópias de legendadas e autenticadas até o tamanho 10X15 cm , por unidade"
8630,"FUNRESPOL - Taxa para cópias de ampliações fotográficas até o tamanho 20x25cm, por unidade","8630 - FUNRESPOL - Taxa para cópias de ampliações fotográficas até o tamanho 20x25cm, por unidade"
8631,"FUNRESPOL - Taxa para cópias fotostáticas autenticadas de documentos, por folha ou exemplar","8631 - FUNRESPOL - Taxa para cópias fotostáticas autenticadas de documentos, por folha ou exemplar"
8632,FUNRESPOL - Taxa para cópias heliográficas por unidade medindo até o tamanho de 33x22,8632 - FUNRESPOL - Taxa para cópias heliográficas por unidade medindo até o tamanho de 33x22
8633,"FUNRESPOL - Taxa para cópias de autos e folhas de inquéritos policiais, processos contravencionais, por unidade","8633 - FUNRESPOL - Taxa para cópias de autos e folhas de inquéritos policiais, processos contravencionais, por unidade"
8634,"FUNRESPOL - Taxa para certidão de autos de inquéritos policiais, processos contravencionais, por folha","8634 - FUNRESPOL - Taxa para certidão de autos de inquéritos policiais, processos contravencionais, por folha"
8635,FUNRESPOL - Taxa para certidão de perda de documentos,8635 - FUNRESPOL - Taxa para certidão de perda de documentos
8636,FUNRESPOL - Taxa para certidão negativa expedida pela Delegacia de Furtos e Roubo de Veículos,8636 - FUNRESPOL - Taxa para certidão negativa expedida pela Delegacia de Furtos e Roubo de Veículos
8637,"FUNRESPOL - Taxa para certidão de Ocorrência Policial e/ou diversas, de atos praticados em Delegacias de Polícias e/ou outros órgãos policiais não compreendidos nesta tabela","8637 - FUNRESPOL - Taxa para certidão de Ocorrência Policial e/ou diversas, de atos praticados em Delegacias de Polícias e/ou outros órgãos policiais não compreendidos nesta tabela"
8638,"FUNRESPOL - Taxa para inscrição no C urso de vigilante, por candidato","8638 - FUNRESPOL - Taxa para inscrição no C urso de vigilante, por candidato"
8639,"FUNRESPOL - Taxa para inscrição para reciclagem de vigilante, por candidato","8639 - FUNRESPOL - Taxa para inscrição para reciclagem de vigilante, por candidato"
8640,"FUNRESPOL - Taxa para exame psicotécnico, por candidato","8640 - FUNRESPOL - Taxa para exame psicotécnico, por candidato"
8641,"FUNRESPOL - Taxa para expedição de certificados e documentos diversos, por candidato","8641 - FUNRESPOL - Taxa para expedição de certificados e documentos diversos, por candidato"
8642,FUNRESPOL - Taxa para inscrição em concurso público de nível superior por candidato,8642 - FUNRESPOL - Taxa para inscrição em concurso público de nível superior por candidato
8643,"Taxa para inscrição em concurso público de nível médio, por candidato","8643 - Taxa para inscrição em concurso público de nível médio, por candidato"
8644,"FUNRESPOL - Taxa para inscrição em curso de nível superior, por candidato","8644 - FUNRESPOL - Taxa para inscrição em curso de nível superior, por candidato"
8645,"FUNRESPOL - Taxa para inscrição em curso de nível médio, por candidato","8645 - FUNRESPOL - Taxa para inscrição em curso de nível médio, por candidato"
8646,"FUNRESPOL - Taxa para inscrição em curso de nível intermediário, por candidato","8646 - FUNRESPOL - Taxa para inscrição em curso de nível intermediário, por candidato"
8670,FUNRESPOL - Taxa para alvará Alto-falante fixo,8670 - FUNRESPOL - Taxa para alvará Alto-falante fixo
8671,FUNRESPOL - Taxa para alvará Alto-falante móvel,8671 - FUNRESPOL - Taxa para alvará Alto-falante móvel
8672,FUNRESPOL - Taxa para alvará Bar de 1ª classe,8672 - FUNRESPOL - Taxa para alvará Bar de 1ª classe
8673,FUNRESPOL - Taxa para alvará Bar de 2ª classe,8673 - FUNRESPOL - Taxa para alvará Bar de 2ª classe
8674,FUNRESPOL - Taxa para alvará Bar de 3ª classe,8674 - FUNRESPOL - Taxa para alvará Bar de 3ª classe
8675,FUNRESPOL - Taxa para alvará Bar de 4ª classe,8675 - FUNRESPOL - Taxa para alvará Bar de 4ª classe
8676,FUNRESPOL - Taxa para alvará Bar de 5ª classe,8676 - FUNRESPOL - Taxa para alvará Bar de 5ª classe
8677,FUNRESPOL - Taxa para alvará Bar de 6ª classe,8677 - FUNRESPOL - Taxa para alvará Bar de 6ª classe
8678,FUNRESPOL - Taxa para alvará Casa de sauna mista,8678 - FUNRESPOL - Taxa para alvará Casa de sauna mista
8679,FUNRESPOL - Taxa para alvará Drive-in,8679 - FUNRESPOL - Taxa para alvará Drive-in
8680,"FUNRESPOL - Taxa para alvará Boates contendo estacionamento, danças, shows musicais, restaurantes e/ou lanchonetes e similares","8680 - FUNRESPOL - Taxa para alvará Boates contendo estacionamento, danças, shows musicais, restaurantes e/ou lanchonetes e similares"
8681,FUNRESPOL - Taxa para alvará de Cinema em cidades com até 50.000 habitantes,8681 - FUNRESPOL - Taxa para alvará de Cinema em cidades com até 50.000 habitantes
8682,FUNRESPOL - Taxa para alvará de Cinema em cidades acima de 50.000 habitantes,8682 - FUNRESPOL - Taxa para alvará de Cinema em cidades acima de 50.000 habitantes
8683,"FUNRESPOL - Taxa para alvará de Locadora de vídeo, 1ª classe","8683 - FUNRESPOL - Taxa para alvará de Locadora de vídeo, 1ª classe"
8684,"FUNRESPOL - Taxa para alvará de Locadora de vídeo, 2a classe","8684 - FUNRESPOL - Taxa para alvará de Locadora de vídeo, 2a classe"
8685,"FUNRESPOL - Taxa para alvará de Locadora de vídeo, 3a classe","8685 - FUNRESPOL - Taxa para alvará de Locadora de vídeo, 3a classe"
8686,FUNRESPOL - Taxa para alvará de Hotel de cinco estrelas,8686 - FUNRESPOL - Taxa para alvará de Hotel de cinco estrelas
8687,FUNRESPOL - Taxa para alvará de Hotel de quatro estrelas,8687 - FUNRESPOL - Taxa para alvará de Hotel de quatro estrelas
8688,FUNRESPOL - Taxa para alvará de Hotel de três estrelas,8688 - FUNRESPOL - Taxa para alvará de Hotel de três estrelas
8689,FUNRESPOL - Taxa para alvará de Hotel de duas estrelas,8689 - FUNRESPOL - Taxa para alvará de Hotel de duas estrelas
8690,FUNRESPOL - Taxa para alvará de Hotel de um a estrela,8690 - FUNRESPOL - Taxa para alvará de Hotel de um a estrela
8691,"FUNRESPOL - Taxa para alvará de Hotel sem estrela, com mais de 25 apartamentos ou quartos","8691 - FUNRESPOL - Taxa para alvará de Hotel sem estrela, com mais de 25 apartamentos ou quartos"
8692,FUNRESPOL - Taxa para alvará de Hotel sem estrelas com até 25 apartamentos ou quartos,8692 - FUNRESPOL - Taxa para alvará de Hotel sem estrelas com até 25 apartamentos ou quartos
8693,FUNRESPOL - Taxa para alvará de Hotel sem estrelas com menos de 25 apartamentos,8693 - FUNRESPOL - Taxa para alvará de Hotel sem estrelas com menos de 25 apartamentos
8694,FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas com três estrelas,8694 - FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas com três estrelas
8695,FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas com duas estrelas,8695 - FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas com duas estrelas
8696,FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas com uma estrela,8696 - FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas com uma estrela
8697,FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas sem estrela mais de 25 apartamentos ou quartos,8697 - FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas sem estrela mais de 25 apartamentos ou quartos
8698,FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas sem estrelas até 25 apartamentos ou quartos,8698 - FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas sem estrelas até 25 apartamentos ou quartos
8699,FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas sem estrelas com menos de 10 apartamentos,8699 - FUNRESPOL - Taxa para alvará de Hospedarias ou pousadas sem estrelas com menos de 10 apartamentos
8700,FUNRESPOL - Taxa para alvará de Motéis luxo,8700 - FUNRESPOL - Taxa para alvará de Motéis luxo
8701,FUNRESPOL - Taxa para alvará de Motéis de 1a classe,8701 - FUNRESPOL - Taxa para alvará de Motéis de 1a classe
8702,FUNRESPOL - Taxa para alvará de Motéis de 2a classe,8702 - FUNRESPOL - Taxa para alvará de Motéis de 2a classe
8703,FUNRESPOL - Taxa para alvará de Motéis de 3a classe,8703 - FUNRESPOL - Taxa para alvará de Motéis de 3a classe
8704,FUNRESPOL - Taxa para alvará de Motéis de 4a classe,8704 - FUNRESPOL - Taxa para alvará de Motéis de 4a classe
8705,FUNRESPOL - Taxa para alvará de Restaurantes 1ª classe,8705 - FUNRESPOL - Taxa para alvará de Restaurantes 1ª classe
8706,FUNRESPOL - Taxa para alvará de Restaurantes 2a classe,8706 - FUNRESPOL - Taxa para alvará de Restaurantes 2a classe
8707,FUNRESPOL - Taxa para alvará de Restaurantes 3a classe,8707 - FUNRESPOL - Taxa para alvará de Restaurantes 3a classe
8708,FUNRESPOL - Taxa para alvará de Lanchonete 1ª classe,8708 - FUNRESPOL - Taxa para alvará de Lanchonete 1ª classe
8709,FUNRESPOL - Taxa para alvará de Lanchonete 2ª classe,8709 - FUNRESPOL - Taxa para alvará de Lanchonete 2ª classe
8710,FUNRESPOL - Taxa para alvará de Lanchonete 3ª classe,8710 - FUNRESPOL - Taxa para alvará de Lanchonete 3ª classe
8711,"FUNRESPOL - Taxa para alvará de casa de jogos de habilidade, mecânicas, manuais ou através de máquina ou aparelho elétrico ou eletrônico, ou jogos de bocha, bolão e congêneres, explorado por pessoa física ou jurídica, que não sejam instaladas em Sociedades recreativas, por unidades de máquinas, de mesas, de aparelhos elétrico ou eletrônico","8711 - FUNRESPOL - Taxa para alvará de casa de jogos de habilidade, mecânicas, manuais ou através de máquina ou aparelho elétrico ou eletrônico, ou jogos de bocha, bolão e congêneres, explorado por pessoa física ou jurídica, que não sejam instaladas em Sociedades recreativas, por unidades de máquinas, de mesas, de aparelhos elétrico ou eletrônico"
8712,"FUNRESPOL - Taxa para alvará de execução fonomecânica e sem locutor, por eletrolas, gravador, alto-falantes ou similares, em casas de comércio e que não sejam efetuadas em cabinas indevassáveis , acionado através de ficha, por aparelho","8712 - FUNRESPOL - Taxa para alvará de execução fonomecânica e sem locutor, por eletrolas, gravador, alto-falantes ou similares, em casas de comércio e que não sejam efetuadas em cabinas indevassáveis , acionado através de ficha, por aparelho"
8713,"FUNRESPOL - Taxa para alvará de orquestra, conjunto musical, música mecânica ou eletrônica, com ou sem inserção de moedas, em bares, confeitarias, leiteiras, sorveterias ou em outros estabelecimentos congêneres","8713 - FUNRESPOL - Taxa para alvará de orquestra, conjunto musical, música mecânica ou eletrônica, com ou sem inserção de moedas, em bares, confeitarias, leiteiras, sorveterias ou em outros estabelecimentos congêneres"
8714,"FUNRESPOL - Taxa para alvará de associações recreativas, clubes, sociedades, estádios que vendam ingresso","8714 - FUNRESPOL - Taxa para alvará de associações recreativas, clubes, sociedades, estádios que vendam ingresso"
8715,FUNRESPOL - Taxa para alvará de parque de patinação em recinto aberto ou fechado,8715 - FUNRESPOL - Taxa para alvará de parque de patinação em recinto aberto ou fechado
8716,"Taxa para alvará de casas de jogos de carteados lícitos, permitido em sociedades legitimamente constituída","8716 - Taxa para alvará de casas de jogos de carteados lícitos, permitido em sociedades legitimamente constituída"
8717,FUNRESPOL - Taxa para alvará d e bailes em cidades com até 200.000 habitantes,8717 - FUNRESPOL - Taxa para alvará d e bailes em cidades com até 200.000 habitantes
8718,"FUNRESPOL - Taxa para alvará de bailes em cidades com mais de 200.000 habitantes, por baile","8718 - FUNRESPOL - Taxa para alvará de bailes em cidades com mais de 200.000 habitantes, por baile"
8719,FUNRESPOL - Taxa para alvará nos distritos administrativos ou judiciários e fora do quadro urbano dos municípios do interior,8719 - FUNRESPOL - Taxa para alvará nos distritos administrativos ou judiciários e fora do quadro urbano dos municípios do interior
8720,FUNRESPOL - Taxa para alvará de trio-elétrico,8720 - FUNRESPOL - Taxa para alvará de trio-elétrico
8721,"FUNRESPOL - Taxa para alvará de bloco carnavalesco, escola de samba","8721 - FUNRESPOL - Taxa para alvará de bloco carnavalesco, escola de samba"
8722,FUNRESPOL - Taxa para alvará de bailões,8722 - FUNRESPOL - Taxa para alvará de bailões
8723,"FUNRESPOL - Taxa para alvará de luta livre , boxe , ou similares, com entrada paga, por espetáculo","8723 - FUNRESPOL - Taxa para alvará de luta livre , boxe , ou similares, com entrada paga, por espetáculo"
8724,FUNRESPOL - Taxa para alvará para leilão de veículos,8724 - FUNRESPOL - Taxa para alvará para leilão de veículos
8725,FUNRESPOL - Taxa para alvará para leilão de animais,8725 - FUNRESPOL - Taxa para alvará para leilão de animais
8726,"FUNRESPOL - Taxa para alvará de enduros, corridas, de veículos e/ou animais em geral e correlatos","8726 - FUNRESPOL - Taxa para alvará de enduros, corridas, de veículos e/ou animais em geral e correlatos"
8727,"FUNRESPOL - Taxa para alvará de shows com dança - cantores, bandas ou grupos musicais, por show","8727 - FUNRESPOL - Taxa para alvará de shows com dança - cantores, bandas ou grupos musicais, por show"
8728,"FUNRESPOL - Taxa para alvará de shows sem dança - ópera , teatro, musicais , mágicos, ilusionistas, por show","8728 - FUNRESPOL - Taxa para alvará de shows sem dança - ópera , teatro, musicais , mágicos, ilusionistas, por show"
8729,"FUNRESPOL - Taxa para alvará de barraca de com ida, de jogo lícito, sorveteria , aparelho de diversão , por temporada","8729 - FUNRESPOL - Taxa para alvará de barraca de com ida, de jogo lícito, sorveteria , aparelho de diversão , por temporada"
8730,FUNRESPOL - Taxa para alvará de apresentação de danças,8730 - FUNRESPOL - Taxa para alvará de apresentação de danças
8731,"FUNRESPOL - Taxa para alvará de parque ou estande, por aparelho ou local de atração, cada temporada","8731 - FUNRESPOL - Taxa para alvará de parque ou estande, por aparelho ou local de atração, cada temporada"
8732,FUNRESPOL - Taxa para alvará de bar com música,8732 - FUNRESPOL - Taxa para alvará de bar com música
8733,FUNRESPOL - Taxa para alvará de bar sem música,8733 - FUNRESPOL - Taxa para alvará de bar sem música
8734,FUNRESPOL - Taxa para alvará de restaurante e lanchonetes,8734 - FUNRESPOL - Taxa para alvará de restaurante e lanchonetes
8735,FUNRESPOL - Taxa para alvará de estacionamento para veículos automotores,8735 - FUNRESPOL - Taxa para alvará de estacionamento para veículos automotores
8736,"FUNRESPOL - Taxa para autorização de empresas de desmanche, manutenção e revenda de peças de veículos ou estabelecimentos assemelhados","8736 - FUNRESPOL - Taxa para autorização de empresas de desmanche, manutenção e revenda de peças de veículos ou estabelecimentos assemelhados"
8737,FUNRESPOL - Taxa para autorização de oficinas de manutenção e recuperação de veículos automotores,8737 - FUNRESPOL - Taxa para autorização de oficinas de manutenção e recuperação de veículos automotores
8738,FUNRESPOL - Taxa para autorização de oficinas de manutenção e recuperação de bicicletas e similares,8738 - FUNRESPOL - Taxa para autorização de oficinas de manutenção e recuperação de bicicletas e similares
8739,FUNRESPOL - Taxa para autorização de empresas locadoras de veículos,8739 - FUNRESPOL - Taxa para autorização de empresas locadoras de veículos
